"SED_name","SED_state","dwellings","capacity","density","instals_Residential","instals_Commercial","instals_Power_Station","capacity_Residential","capacity_Commercial","capacity_Power_Station"
"Miller","QLD","16579","50719","42.4","7036","313","7","37217","7895","5607"
"Miranda","NSW","24030","46992","27.0","6488","276","2","40104","6198","690"
"Mirani","QLD","21702","66652","45.7","9912","377","1","55575","10931","146"
"Mirrabooka (East Metropolitan)","WA","19197","27954","32.0","6144","40","0","26547","1407","0"
"Moggill","QLD","18459","76325","62.5","11532","601","0","65129","11196","0"
"Monaro","NSW","34116","99426","36.8","12566","900","3","77370","21430","626"
"Monbulk (Eastern Victoria)","VIC","22295","37194","26.9","6006","248","0","30406","6788","0"
"Moore (Agricultural)","WA","21690","87126","44.7","9695","433","6","47320","13762","26044"
"Morayfield","QLD","24873","82598","53.7","13366","449","4","69938","11205","1455"
"Mordialloc (South-Eastern Metropolitan)","VIC","22624","43211","25.7","5805","300","9","29309","11156","2746"
"Morialta","SA","14211","54686","55.8","7934","532","1","42128","12359","199"
"Morley (East Metropolitan)","WA","17895","30214","33.7","6029","73","0","27469","2745","0"
"Mornington (Eastern Victoria)","VIC","27090","51040","30.1","8167","370","0","42358","8682","0"
"Morphett","SA","15292","41265","43.1","6592","288","3","33203","7208","854"
"Morwell (Eastern Victoria)","VIC","29137","61991","31.1","9050","466","10","43911","14657","3423"
"Mount Druitt","NSW","29439","81916","38.1","11230","455","10","61051","17744","3121"
"Mount Gambier","SA","15515","37816","32.1","4985","338","3","26829","9786","1201"
"Mount Lawley (East Metropolitan)","WA","16343","29871","33.5","5468","92","2","27107","2422","342"
"Mount Ommaney","QLD","18451","72837","58.4","10772","497","4","54024","17555","1258"
"Mount Waverley (Eastern Metropolitan)","VIC","21096","35989","29.9","6302","153","2","31569","3955","465"
"Mudgeeraba","QLD","20183","81672","57.7","11650","545","4","62259","11888","7525"
"Mulgoa","NSW","29192","130294","41.5","12101","926","44","73549","25340","31405"
"Mulgrave","QLD","20568","72881","48.5","9973","430","5","60121","11611","1149"
"Mulgrave (South-Eastern Metropolitan)","VIC","22776","40945","26.8","6100","239","8","30046","8942","1957"
"Mundingburra","QLD","19128","216285","49.0","9381","391","8","50897","11825","153563"
"Murray","NSW","37343","1632401","38.9","14515","2060","45","84210","57302","1490889"
"Murray Plains (Northern Victoria)","VIC","30732","231436","38.8","11931","1129","19","61091","34974","135371"
"Murray-Wellington (South West)","WA","19714","61524","57.8","11391","226","6","52528","6731","2265"
"Murrumba","QLD","26418","66865","44.8","11843","219","3","60633","5442","790"
"Murrumbidgee","ACT","33167","104491","36.6","12145","649","5","76778","13743","13970"
"Myall Lakes","NSW","34872","90770","43.8","15276","483","4","76748","12956","1066"
"Namatjira","NT","4148","7778","7.9","329","50","10","1948","1646","4184"
"Nanango","QLD","27098","89251","53.9","14617","644","2","72569","16173","509"
"Narracan (Eastern Victoria)","VIC","34916","78205","33.5","11706","572","8","57634","17253","3318"
"Narre Warren North (South-Eastern Metropolitan)","VIC","23886","60532","39.5","9444","317","5","47370","9468","3694"
"Narre Warren South (South-Eastern Metropolitan)","VIC","27575","57216","39.3","10849","147","0","52967","4249","0"
"Narungga","SA","24823","109487","52.3","12978","510","13","62714","13510","33263"
"Nedlands (North Metropolitan)","WA","13218","32281","36.7","4845","199","6","25598","5515","1168"
"Nelson","NT","3716","23697","33.8","1255","97","3","8429","3905","11363"
"Nepean (Eastern Victoria)","VIC","51663","73515","21.6","11143","596","4","58495","14066","954"
"Newcastle","NSW","28851","53497","27.2","7842","426","1","40708","12486","303"
"Newland","SA","14618","46052","56.7","8286","234","1","39014","5520","1518"
"Newtown","NSW","18658","18474","12.3","2291","184","5","10556","5982","1936"
"Nhulunbuy","NT","2308","3812","5.7","131","31","3","868","1237","1707"
"Nicklin","QLD","20306","79650","64.1","13018","596","3","65194","13800","656"
"Niddrie (Western Metropolitan)","VIC","24985","28503","18.0","4493","219","1","21922","6095","486"
"Nightcliff","NT","1646","4450","37.8","622","17","0","3623","827","0"
"Ninderry","QLD","21774","94530","58.0","12620","612","2","65423","13849","15258"
"Noosa","QLD","23084","83092","56.2","12982","691","2","66631","16030","431"
"North Shore","NSW","11169","16370","17.0","1897","174","2","11511","4449","410"
"North West Central (Mining and Pastoral)","WA","13653","129889","9.7","1318","336","23","7712","9487","112690"
"Northcote (Northern Metropolitan)","VIC","23042","29718","23.3","5364","164","0","24221","5497","0"
"Northern Tablelands","NSW","37961","888225","39.9","15135","1013","14","76348","25083","786794"
"Nudgee","QLD","18189","56461","45.3","8234","374","7","42003","11208","3250"
"Oakleigh (Southern Metropolitan)","VIC","22867","30363","18.4","4212","170","7","20386","5603","4374"
"Oatley","NSW","23063","40515","25.0","5771","290","2","32677","7286","552"
"Oodgeroo","QLD","18827","62697","59.2","11141","364","2","54113","7832","752"
"Orange","NSW","34750","427892","37.9","13179","924","19","75195","24418","328279"
"Ovens Valley (Northern Victoria)","VIC","30991","106048","41.0","12701","784","10","65212","22164","18672"
"Oxley","NSW","34705","98421","48.6","16880","533","5","82618","14590","1213"
"Parramatta","NSW","23040","42996","22.5","5188","347","9","30223","10112","2661"
"Pascoe Vale (Northern Metropolitan)","VIC","32767","30553","16.5","5406","182","2","24466","5455","632"
"Penrith","NSW","29447","75575","33.4","9846","588","7","55800","17133","2642"
"Perth (North Metropolitan)","WA","12086","28835","30.4","3669","302","2","17664","10990","181"
"Pilbara (Mining and Pastoral)","WA","18835","150526","8.5","1603","280","11","9957","10362","130207"
"Pine Rivers","QLD","20767","88584","63.0","13088","789","3","67878","18354","2352"
"Pittwater","NSW","23742","45257","24.5","5807","387","0","35557","9700","0"
"Playford","SA","15526","61424","59.1","9174","323","10","43756","10765","6903"
"Polwarth (Western Victoria)","VIC","37302","75115","26.8","9980","755","4","51289","21785","2041"
"Port Adelaide","SA","15840","62178","50.2","7948","500","13","36957","17071","8150"
"Port Darwin","NT","572","6086","36.8","210","82","2","1324","4300","462"
"Port Macquarie","NSW","35502","104396","50.4","17897","475","5","88334","13434","2628"
"Port Stephens","NSW","36701","97917","41.0","15064","549","7","80899","14744","2274"
"Prahran (Southern Metropolitan)","VIC","11158","8787","11.3","1256","104","0","6042","2745","0"
"Preston (Northern Metropolitan)","VIC","30359","30049","17.2","5225","171","2","23311","6154","584"
"Prospect","NSW","27232","84161","31.1","8456","590","38","46313","22210","15638"
"Pumicestone","QLD","24733","88971","66.0","16336","431","4","77690","10037","1244"
"Ramsay","SA","16282","47175","51.1","8324","175","3","39241","5205","2729"
"Redcliffe","QLD","20447","57063","47.9","9804","365","1","48574","8269","220"
"Redlands","QLD","23402","77700","61.6","14423","308","2","70048","6772","880"
"Reynell","SA","16803","43343","48.1","8080","158","4","35941","4434","2968"
"Richmond (Northern Metropolitan)","VIC","19501","21596","14.0","2732","210","6","11455","6621","3520"
"Ringwood (Eastern Metropolitan)","VIC","26503","36970","22.0","5842","242","3","28614","7728","628"
"Ripon (Western Victoria)","VIC","33138","98596","35.7","11835","551","13","58026","16819","23751"
"Riverstone","NSW","46017","167838","48.8","22472","819","5","148733","18292","813"
"Riverton (South Metropolitan)","WA","14274","44647","62.4","8914","127","1","40100","4367","180"
"Rockdale","NSW","19573","27923","19.3","3783","215","2","21822","5769","332"
"Rockhampton","QLD","21807","59949","42.1","9178","394","8","45299","11582","3068"
"Rockingham (South Metropolitan)","WA","17150","42493","52.9","9076","127","2","36389","3940","2164"
"Roe (Agricultural)","WA","20321","34136","23.7","4824","263","4","22582","6488","5066"
